,id,sentence,is_q,label,tokens,q',r'
1392,292,"Cause Number of Deaths Mortality Rate Natural 36,364 44.8 Perinatal Conditions 14,364 17.7 Congenital Anomalies 6,771 8.3 Neoplasms 2,466 3.0 Respiratory Disease 1,625 2.0 Circulatory Disease 1,713 2.1 Nervous System Disease 1,626 2.0 SIDS 2,162 2.7 Unintentional Injury 12,035 14.8 Motor Vehicle 7,677 9.5 Drowning 1,062 1.3 Fire/Burn 551 0.7",0,1,124,You are joking right ?,"Must be getting about time to drag out the old car and five gallon bucket routine again , since far more kids die that way , and since we are talking toy guns we will go with unintentional Natural 36,364 44.8 Perinatal Conditions 14,364 17.7 Congenital Anomalies 6,771 8.3 Neoplasms 2,466 3.0 Respiratory Disease 1,625 2.0 Circulatory Disease 1,713 2.1 Nervous System Disease 1,626 2.0 SIDS 2,162 2.7 Unintentional Injury 12,035 14.8 Motor Vehicle 7,677 9.5 Drowning 1,062 1.3 Fire/Burn 551 0.7 Poisoning 650 0.8 Suffocation/Strangulation 910 1.1 Firearm 151 0.2 Homicide 3,001 3.7 Firearm 1,844 2.3 Suicide 1,737 2.1 Firearm 810 1.0 Suffocation/Strangulation 724 0.9 Poisoning 112"
2903,546,"You still have to deal with the fact that whoever invaded the U.S. probably spend several trillion doing it ( I know , thatÂ ’ s a pretty low number for the invasion of America ) , and in that case most likely have satellites and long-range missiles ( again lets assume somehow AmericaÂ ’ s own just fell out of the sky and the invading force got even guys together to be able to take out all AmericaÂ ’ s nuclear silos including the underground stockpiles which each have own guard forces of soldiers training night and day for such an event ) .",1,0,118,"But militia units only have guns , and they would get their butts whooped , even with massive numbers . What you are saying is only true about Napoleonic tactics , in todayÂ ’ s modern warfare almost completely infantry-based armies are obsolete and very venerable","So , in your opinion , are you saying that this invading force that you are talking about , would never bat an eye as to whether the people of the USA are armed to the teeth or not in their pre-war planning ? Surely any country that tried to overtake the USA would suffer severe damage to its military in all . ``"
2917,546,"No the afghan war is not a valid counterpoint , the terrain was different , the people are more hardened , the weapons were supplied by a military power superior to the Russians , the afghans had unlimited anti-tank reserves , had incredibly extensive cave networks in which to hide , plan and attack , only had to defeat , on the majority , other infantry battalions because of the terrain in which armoured vehicles could not cross , the Russians were under funded and their moral low , the soviets had already been beaten down by large amounts of smaller fights across the cracking Soviet Empire , china needed to be supplied with more troops as it started to look toward independence , Afghanistan is nowhere near water eliminated the possibility of naval back-up by the very crappy Russian naval forces , the afghans received help from the rest of the Arab world which would not happen with the U.S. because if an enemy can take out the U.S. , it could probably take out the combined forces of Europe and North America , and , finally , the afgans did n't have nukes so they had to defend themselves with their own two hands , but america has nukes and if ever anything tryed to do what is in the above senario they would get blasted because unlike the russians in afganhistan , the americans would be defended their homeland .",1,0,270,"But militia units only have guns , and they would get their butts whooped , even with massive numbers . What you are saying is only true about Napoleonic tactics , in todayÂ ’ s modern warfare almost completely infantry-based armies are obsolete and very venerable","So , in your opinion , are you saying that this invading force that you are talking about , would never bat an eye as to whether the people of the USA are armed to the teeth or not in their pre-war planning ? Surely any country that tried to overtake the USA would suffer severe damage to its military in all . ``"
5774,999,"The first reference to God as the foundation of an American colony was noted in the Â ‘ Mayflower Compact , Â ’ dated November 11 , 1620 : Â “ Â….Having undertaken for the Glory of God , and advancement of the Christian faith , and the honour of our king and country , a voyage to plant the first colony in the northern parts of Virginia ; Do by these presents , solemnly and mutually in the presence of God and one another , covenant and combine ourselves together into a Civil BodyÂ….Â ”",0,0,106,"If you personally choose to live your life in accordance to the bible , that 's fine . But the Bible , like many other foreign documents , has no place in politics .",It 's amazing how little you godless heathens have studied the writings of the founding fathers . Here are just some of the facts that are seldom taught in AmericaÂ ’ s public school classrooms
6856,1118,"Chair , Dept . of Chemistry Biochemistry , Texas Tech U. Lennart Moller , Prof. of Environmental Medicine , Karolinska Inst. , U. of Stockholm Raymond G. Bohlin , PhD Molecular Cell Biology-U . of Texas Fazale R. Rana , PhD Chemistry-Ohio U. Michael Atchison , Prof. of Biochemistry , U. of Pennsylvania , Vet School William S. Harris , Prof. of Basic Medical Sciences , U. of Missouri Rebecca W. Keller , Research Prof. , Dept . of Chemistry , U. of New Mexico Terry Morrison , PhD Chemistry-Syracuse U. Robert F. DeHaan , PhD Human Development-U . of Chicago Matti Leisola , Prof. , Laboratory of Bioprocess Engineering , Helsinki U. of Technology Bruce Evans , Assoc .",1,0,170,have asserted that DarwinÂ ’ s theory of evolution fully explains the complexity of living things all known scientific evidence supports [ Darwinian ],"No one has ever said that Evolution asserted that we know everthing about complexity . Basically , it 's a lie ."
8059,1296,"God ' is a figure that humanity created so that life would not be dull adn so that we would have reasurance ( sp ) that there is an after life 'God ' is a symbol of how sad and corrupt humanityt really is , think about it , god is supposed to be a being that created this world that gives you hope and that causes miracles , but where was `` GOd ' during semptember 11th where was `` God ' when 3000 people lost there lifes because terrorists decided that they shold fly a plane into the Twin Towers .",1,1,117,God ' is a figure that humanity created so that life would not be dull adn so that we would have reasurance ( sp ) that there is an after life,Slithering from the scene of every crime ...
8154,1315,"The perspective of the Out of Africa model ( often called Out of Africa II , referring to a second migration from Africa of a hominid population ) adherents is that when there was a migration of H. erectus out of Africa into Asia and Europe , these populations ( seen in materials like the Chinese and Indonesian erectus ) did not contribute a significant amount of genetic material to later populations that led to modern humans ( some claim no genetic ancestry to these groups and their descendants at all , a `` strict `` replacement model ) .",0,1,109,"Where did Man descend from , if he did n't descend from Monkey ?","many hold to the `` Out of Africa `` replacement model . of the ( a second migration from a hominid population ) adherents is that when there was a migration of H. erectus out of Africa into Asia and Europe , these populations ( seen in materials like the Chinese and Indonesian erectus ) did not contribute a significant amount of genetic material to later populations that led to modern humans ( some claim no genetic ancestry to these groups and their descendants at all , a `` strict `` replacement model ) . At approximately 200 kya there was a second migration of hominids out of Africa . This time it was fully modern H. sapiens , which proceeded to replace whatever populations that then occupied Asia and Europe . Some see direct competition and extermination of the native populations , some see passive replacement due to better adaptive strategies , and some see genetic admixture with the preponderance of genetic material coming from the incoming human populations , eventually replacing and assimilating them into the greater collective . In this view there is a specific speciation event that occurred which led to the origin of H. sapiens in Africa , and this population is the forerunner of modern humans , leaving the European Neanderthals , Chinese erectus , and others out in the cold . Homo Sapiens"
9194,1481,Those who object to same-sex marriage primarily ( or so they claim ) because it would `` change the definition of marriage `` should perhaps be made aware that that train has already left the station : Merriam-Webster On-line http : //www.m-w.com/dictionary/marriage Dictionary.com http : //dictionary.reference.com/browse/marriage Encarta http : //encarta.msn.com/encnet/featur ... fid=1861628509 American Heritage http : //www.bartleby.com/61/2/M0120200.html,1,1,139,Those who object to same-sex marriage primarily ( or so they claim ) because it would `` change the definition of marriage ``,is mainly a scare tactic used by anti-gay religious bigots .
9769,1564,"( L ) `` Assault weapon `` means any : ( 1 ) Semi-automatic rifle that has the capacity to accept a detachable magazine and has one or more of the following : ( a ) A pistol grip that protrudes conspicuously beneath the receiver of the weapon ; ( b ) Any feature capable of functioning as a protruding grip that can be held by the non-trigger hand ; ( c ) A folding , telescoping or thumbhole stock ; ( d )",1,0,101,Semi-automatic firearm `` means any firearm designed or specially adapted to fire a single cartridge and automatically chamber a succeeding cartridge ready to fire,The actual law :
9771,1564,"A muzzle brake or muzzle compensator ; ( 2 ) Semi-automatic pistol , or any semi-automatic , centerfire rifle with a fixed magazine , that has the capacity to accept more than ten rounds of ammunition ; ( 3 ) Semi-automatic pistol that has the capacity to accept a detachable magazine and has one or more of the following : ( a ) Any feature capable of functioning as a protruding grip than can be held by the non-trigger hand ; ( b ) A folding , telescoping or thumbhole stock ; ( c ) A shroud attached to the barrel , or that partially or completely encircles the barrel , allowing the bearer to hold the firearm with the non-trigger hand without being burned , but excluding a slide that encloses the barrel ; ( d ) A muzzle brake or muzzle compensator ; or ( e )",1,0,180,Semi-automatic firearm `` means any firearm designed or specially adapted to fire a single cartridge and automatically chamber a succeeding cartridge ready to fire,The actual law :
