id,q,r
1,"""I got a good idea . however , they do tend to stay with their own .""","""By your own admission you havenÂ ’ t 'hung out ' with stoners for a while and you 're making generalisations about them to people who do spend a lot of time with stoners ?"""
2,"""Be sure to give your guns a big fat kiss tonight before you go to bed tonight 'cuz guns did really good today .""","""Actually , they did n't ."""
3,"""One of the biggest arguments against gun control is that if the government became too oppressive , the people would n't have the capacity to carry out a successful rebellion .""","""To be more correct regarding government and guns , the right to own weapons is for the right to revolt and revolt with violence ."""
4,"""First of all , compare the ' B ' specimen in your fossil link to the modern specimen and point out any significant difference to me .""","""At your service : Comparison I could 've just circled the whole thing , but this makes it clearer . Plus it 's overall body shape is `` fatter ``"""
5,"""There are some incedents that are beyond your control . If you own a rifle or large handgun , it 's at your own risk .""","""Well yes ."""
6,"""So the answer to your question is that there is no answer .""","""So which is it : the action is moral , the action is immoral , or there is no answer ? You seem confused ."""
7,"""What matters is YOU and what YOU are going to think about yourself in 5 years .""","""Exact , to the point , & amp ; beautiful ."""
15,"""Correctly viewed , evolution is not a series of unlikely events , but a series of highly likely ones .""","""Well , that is not what your colleagues quoted herein seem to feel ... and that certainly is not what empirical evidence is bearing out ."""
16,"""Strange , I was under the impression this article was referring to the Roman Catholic Church .""","""You 're not one of those people who does n't consider Catholics christians are you ?"""
17,"""And dont you get a kick out of SP calling herself a rational christian as she blasphemes God and attempts to disprove Him in every post ?""","""Actually he does n't believe in a liar God like you , so really it 's YOU who 's the blasphemer ."""
18,"""It took me a few years to see through the fairy tale of evolution and see that God was the only true creator .""","""um , yeah , you could say that ... ( wo n't argue ... left up to the evolution board )"""
19,"""both sides are in denial and see the other as stupid .""","""I 'm not in denial about anything and do n't think Evo 's are stupid because they do n't agree with me ."""
20,"""Actually , I strongly disagree with gay marriage anyway . It just is n't marriage . It is hypocritical and just plain disugusting .""","""Because you say so ?"""
21,"""Why do n't we have a competition to come up with the best suggestion for a display or show at this theme park ?""","""I have an idea !"""
22,"""And I 'd think the explanation would be that oxygen content was much different before the flood""","""And yet the species that exist today are the exact same as the species during the high oxygen content ?"""
23,"""Are the fossils we see all the result of one big 'tragic ' event for all , or little 'tragic ' events for each ?""","""Well , Google is your friend here - try fossil and see what you get ."""
24,"""Do you mean sexually molesting children ? Again , I think that harms and forces something on someone .""","""What if a 13 year old girl comes up to you and asks for sex , and you agree ? Are you forcing yourself on to her ?"""
25,"""And the king of Babylon smote them and put them to death at Riblah , in the land of Hamath-thus Judah was exiled from its land .""","""The scepter had not been lost during the Babylonian captivity."""
26,"""* Coal can form quickly when forests and marine creatures are buried rapidly .""","""Reference please ."""
27,"""Where is the evidence for an American-style `` culture of fear `` in India ?""","""So are you saying that the people of India are n't upset about what happened and how the police chose to hide instead of engage the enemy and thus let hundreds of people be violently murdered ?"""
28,"""Viva La Liberty !""","""Surely it is something like Viva Libertad , or Vive la Liberte , but Viva La Liberty ? ? ? ? ?"""
43,"""For more info go to : www.abortionfacts.com""","""From that site :"""
44,"""Senior citizen yachties stand little chance of defending themselves against pirates . Piracy needs to be dealt with using military might .""","""And you think the British would do that ?"""
45,"""IÂ ’ m against gay marriage and have been happily married for 31 years , thereby disproving your BS .""","""Ahah ! The exception that proves the rule !"""
46,"""With a shotgun and his dog , he tried to defend his Caledonia home - The Globe and Mail""","""What can ya expect when they killed free speech in favor of hate speech tribunals ? Diversity at work maybe ?"""
47,"""And the only reason the criminals hold handguns is because of the ban .""","""I presume that is a joke . Criminals have always had guns ban or not"""
48,"""6 ) Show me even one instance of the National media coming out with a story that questioned Darwinism or explained the other side of the debate .""","""Â “ Scientists pick holes in Darwin moth theoryÂ ” by Robert Matthews in the Sunday Telegraph ( March , 1999 )"""
49,"""If you say `` I know there is no god , `` this statement requires faith .""","""Maybe you 'll have to clear up the difference between `` understanding `` and `` knowing."""
50,"""Are you sure about that ? Do you know who mai'ana is ?""","""You 're right , I think he has made such comments . Sorry . I think he 's wrong and went too far ."""
51,"""These are Muslim extremest who do n't cotton very much to the Christian Government .""","""Just so you do n't shoot them !"""
52,"""I did n't have to CHOOSE to be heterosexual . It 's the natural inclination , unlike homosexuality .""","""And I did n't have to choose to be homosexual ."""
53,"""09dragonfly06 : Yes , how terrible it is to live in a country that gives a woman liberty over her own body .""","""What I find hard to believe is that politicos will place their decision above the health of a woman ; only for political expediency ."""
54,"""I would have to say that whoever told you about 'macro-evoution ' from a science perspective obviously did not explain things properly .""","""Actually what sank that debate was a bunch of paleontologists from K state who started arguing for punctuated equilibrium ."""
55,"""No Montalban , fallacy or falsity will not persuade me to think a true claim is false .""","""`` The cultic flaw in Ayn Rand 's philosophy of Objectivism is not in the use of reason , or in the emphasis on individuality , or in the belief that humans are self motivated , or in the conviction that capitalism is the ideal system ."""
56,"""What some courts have done is to say that such a definition violates some part of the Constitution .""","""And if one accepts that gay citizens have equal rights under that Constitution , then one has to accept that a ban on gay marriage is intrinsically unconstitutional ."""
64,"""So does this mean they have to get tougher on gun control or softer before the results go their way ?""","""So then will you go the way on liberty ( repeal stoopid laws ) or tyranny ( enact more unconstitutional laws ) ?"""
65,"""Washington , DC -- Christopher Bryan Speight , the 39-year-old man who allegedly shot and killed eight men and women yesterday in Appomattox , Virginia , is at least the 12th person licensed to carry a concealed handgun reported to have committed a mass shooting since May 2007 according to Violence Policy Center ( VPC ) research .""","""Twelve out of literally millions . That 's far too small a number to justify your position ."""
66,"""Sex is a norman part of a healthy relationship .""","""Yes , but it also has consequences ."""
67,"""Creationists are very open about the relationship between belief and science in the study of history .""","""HA !"""
68,"""Your answers were without content or meaning . There was no sarcasm .""","""k"""
69,"""For instance the Yucca plant has a moth that waits dormant for 80 to 150 years beside it to pollinate it on the one day it blooms in all that time .""","""What are you talking about ? A dog ca n't have a cat . That 's retarded ."""
70,"""Simple ... evolutionary science is science and creationism is not ?""","""oh ye of little faith ..... i pity you"""
71,"""Nor is a war of all against all true in evolution .""","""* * Do n't tell me , tell the darwinists ! !"""
72,"""And since when was there a dichotomy between freedom and socialism ?""","""Since the words had meaning ."""
73,"""The truth is out there ...""","""And amongst us"""
74,"""Your question itself is a problem . God is 'He who is ' , not a 'what ' .""","""God does not fill the word `` who `` because to most accounts he is not a person , or being ."""
75,"""The Bible says , `` In the beginning God created the heaven and the earth `` ( Genesis 1 :1 ) .""","""other religions have the idea of a creation event by one or more gods at the beginning ."""
76,"""Gay marriage is outlawed in Texas and many other states . It 's not a `` right `` around these parts , and never will be .""","""Actually , gay marriages will probably be recognized everywhere in the US within a decade or so ."""
77,"""I think the main pro-life argument from the libertarian camp is that pro-life laws are a form of `` negative intrusion , `` just like laws against murder , rape or theft .""","""It 's still the same argument ."""
99,"""Did your thought process ever include the question : What choice does the `` victim `` have ?""","""You mean like a tapeworm ? Should removing tapeworms be illegal too ?"""
100,"""As for Cyber ... he is not a Catholic but an atheist so I have no idea what he will think of this ...""","""See ?"""
101,"""Thing is , Truthsay , I was a wanted child , a desired child .""","""you are right , any unwanted person should be killed ."""
102,"""The genetic difference between human and his nearest relative , the chimpanzee , is at least 1.6 % Calculated out that is a gap of at least 48 million nucleotide differences that must be bridged by random changes .""","""Recent comparisons between the complete chimp genome and the human genome have found that possibly fewer than 3 million nucleotide differences exist in functional DNA ."""
103,"""But , yes , papers are published all the time with loads of evidence pointing to the fact that birds evolved from dinosaurs .""","""Not one that a solid case can be made for ."""
104,"""So , I did a survey and I hope you will fill it out .""","""You 're very welcome"""
105,"""How about you actually prove something for a change instead of expecting everybody else to do your work for you .""","""That is not asking others to do my work for me ."""
113,"""yes , i think it is very reasonable to be against abortion and for a war .""","""Just like no one is really `` for `` abortions , but they think that it 's the woman 's right to decide ."""
114,"""Demon : Typical creationist big mouth , ca n't keep the facts straight , does n't understand evolution and totally incapable of intelligent debate .""","""Because you are a Darwinist - this predictible insult testifies to my rightness . Your approval/compliments would of supported my wrongness . Ray M ."""
115,"""If more gun-control means more lives saved then more gun-control means more self preservation .""","""But gun control does n't mean more lives saved so therefore , your entire statement is wrong ."""
116,"""Do you know what is breast feeding ? Human beings are mammalians ?""","""Are you trying to imply that , because a baby is sometimes breast-fed , it retains a biological connection to the mother similar to the umbilical cord ?"""
117,"""Of course , what the mind is capable of creating , it can then also * heal * as well , thank goodness !""","""So can women can cure themselves ?"""
118,"""I would n't want to make my daughter do anything in this scenario .""","""Me , too . I 'd probably throw in some counseling as well , just for starters ."""
119,"""Not much of anything else either , it would seem .""","""Translation = `` I 've closed my brain off and I 've got not nothing. ``"""
183,"""I 've given yout a way to control crime and violence .""","""Well lets see here ."""
184,"""There was a first animal to fly , a first mammal to take to the water , a first multicellular creature .""","""And again , but no other animal that can fly has also conquered breathing under water as we have , or has learned to travel on land faster than the fastest mammal can run ."""
185,"""`` The really important discovery is that the primary cilium detects signals , which tell the cells to engage their compass reading and move in the right direction to close the wound , `` Christensen explains .""","""Purposefully communicating information as a means to an end ... wound healing ."""
186,"""Which lie is that ?""","""That would be your outright lie that I advocate murder of anybody ."""
187,"""1 . Did she do anything wrong ?""","""Yes , she walked down the wrong alley , alone . Would she have done so if she were not packin ' ?"""
188,"""Having asserted that transitional fossils abound , Isaak ( a widely known evolutionist ) proceeds to cite Archaeopteryx""","""Who was Isaak ? Where did he say this , when did he say this ?"""
189,"""my my you are up on the current events . Thanks for shedding light on this for everyone here .""","""The the price of freedom = vigilance ."""
232,"""ABB prohibits employees from carrying concealed ( or non-concealed for that matter ) firearms on company property .""","""Darned Swiss gun laws !"""
233,"""In case you were wondering , no one here has missed the fact that you 're trying to divert attention from the real issues by beating one minor issue into the ground .""","""No I 'm not Kronus ."""
234,"""Why would they `` necessarily `` be Christian organizations ?""","""Because most people are Christian ."""
235,"""No one is arguing that a human fetus is not human . What is your point ?""","""More argue that the human fetus is not a person ."""
236,"""If when I was in the military , I had suddenly stood up and said , `` Woah !""","""But the military is pretty much all a volunteer thing ."""
237,"""April 20 , 1999 : Students Eric Harris , 18 , and Dylan Klebold , 17""","""By law no guns are allowed there , so by law this incident could n't take place ."""
238,"""PS 58:8 Slugs and/or snails melt as they move . somewhat true , have you ever paused to watch ?""","""I 'll assume this is figurative since they do not literally melt ."""
253,"""Are you saying you think the Supreme Court has the power to get rid of laws they feel are outta date ?""","""No , but they can change laws if they are unconstitutional . Them being irrelevant can however be played as a factor . Not an absolute one ."""
254,"""Congressman Alan Grayson , Florida : Think Progress GraysonÂ ’ s Right : Under The Republican Plan , Â ‘ DonÂ ’ t Get SickÂ ’ ( Or You Might Have To Â ‘ Die QuicklyÂ ’ )""","""So you have a scumbag democrat screeching hate speech and we are supposed to believe its true !"""
255,"""Shooter , so a cop is reporting to the scene and there you are packing a gun .""","""Because hopefully you 're going to shoot the guy , drop your gun , and put your hands out , not run around in circles waving it like a maniac for a a couple of minutes ."""
256,"""But if you can legally buy a gun for that purpose , it means that your attacker is that much more likely to be armed as well .""","""The attacker is usually armed in spite of gun control laws ."""
257,"""I 've also been explained how random mutations get selected , which supposedly leads to evolution . I do n't buy that either .""","""Well that does make sense given that one would not expect you to understand environmental pressures on mutations if you ca n't even understand erosion ."""
258,"""I just spent 3 hours on a train from Chicago behind a hetero couple ( talk about the hetero lifestyle being in my face ) that could keep their tongues to themselves .""","""So you 're admitting openly that what is a normal occurrence within the human species is offensive to you ."""
259,"""How can you tell the difference ?""","""Simple . The big government people will tell you that it 's in everybody 's best interest . The criminals will just kill you without debate ."""
274,"""What I 'm asking really is that given they 're promoting Jewish scripture , why are they ignoring Jewish interpretation ?""","""Well , you will find claims amoung this group that 'If Jews understood their own scriptures , they would accept Jesus as their Lord and Savior ' , and `` Christians are fullfilled Jews `` ."""
275,"""Now , it 's RNA that seems to be `` running the show. ``""","""It seems apparent that you did n't understand what you read ."""
276,"""And why could the mother have aborted that baby legally if she chose to ?""","""I dunno , maybe it was in the third trimester ?"""
277,"""First of all , why are you reffering to my arguments as `` bullets `` ?""","""Because it is a bulleted list ...."""
278,"""Both sides take every advantage to post something favorable to their ideologies .""","""and thus a reason to support balanced reporting ."""
279,"""A foetus is a stage in human development , something that begins at conception .""","""Yes , a foetus is human , made of human cells , and possessing of DNA ."""
280,"""oh brother .. so what if a minority of americans wanted to legalize murder . this is rediculous .""","""Murder violates the rights of the murdered by relieving them of their life ."""
302,"""It would have been better if you sucked it up and kept the kid .""","""You do n't beleive that it is possible to do something wrong to prevent a larger number of wrongs in the future ?"""
303,"""But what separates us from other mammals ( if we restrict the question to that class of vertebrates ) is reckoned to be `` self consciousness `` - the human mind that can deliberate upon and analyse its own thought processes .""","""And how do you know what other animals can analyze ? Is that another supreme abilities of us humans ? To read the minds of animals ?"""
304,"""What if the jury is wrong ?""","""The bleeding hearts will always ask whether the jury was correct ."""
305,"""I 've been telling this board for months that the gene is not the player in biological change that everyone thinks it is .""","""Actually , it is ."""
306,"""Problem is that the right to marry is not a clear constitutional right .""","""I see -- in your opinion is it is `` illegitimate `` , therefore it must be so ."""
307,"""Marriage is to promote children bearing and making a family unit .""","""But does anyone actually need a marriage to do this ? No . Are there any laws stating one must be married before giving birth ? No ."""
